listing_id,price,nbhood_full,host_name,last_review,description,room_type
47199,75 dollars,"Manhattan, Upper East Side",Teresa,June 24 2019,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",Private room
47926,275 dollars,"Manhattan, Hell's Kitchen",Claudia,June 26 2019,LUX APT IN TIMES SQUARE NEW BUILDING,Entire home/apt
48719,299 dollars,"Manhattan, Lower East Side",Shane,June 15 2019,Designer 1 BR Duplex w/ Terrace- Spectacular Views,Entire home/apt
50447,135 dollars,"Brooklyn, South Slope",Laurie,June 22 2019,Lovely Apt & Garden;  Legal;  Best Area; Amenities,Entire home/apt
51485,83 dollars,"Manhattan, Lower East Side",Erina,June 22 2019,Lower East Side $57~/night,Private room
51572,123 dollars,"Manhattan, Chelsea",Lee,June 18 2019,Prime Location in Manhattan,Private room
51850,55 dollars,"Queens, Jamaica",Jullett,May 20 2019,( F) Excellent/Pvt Rm,Private room
53137,195 dollars,"Manhattan, Hell's Kitchen",Marlaine,July 01 2019,"Quiet, sunny Midtown Manhattan apt.",entire home/apt
53477,265 dollars,"Queens, Middle Village",Mark,April 27 2019,3 floors of luxury!,ENTIRE HOME/APT
54158,249 dollars,"Brooklyn, Williamsburg",Bob,June 20 2019,The Institute—Heart of Williamsburg,Entire home/apt
54508,100 dollars,"Brooklyn, Prospect Heights",Kathleen R.,June 06 2019,Sml Rm in pr Brst  Park Sl great for Med/students,PRIVATE ROOM
54544,121 dollars,"Manhattan, Harlem",Wayne,June 22 2019,City Room - Private Penthouse Apt.,Entire home/apt
54626,45 dollars,"Bronx, Highbridge",Waundell,June 30 2019,Cozy bedroom by Yankee Stadium,Private room
54860,100 dollars,"Manhattan, East Harlem",Jenny,June 23 2019,Great apartment with private bathroom and entrance,Private room
55467,140 dollars,"Brooklyn, Williamsburg",Paul,July 02 2019,Private Garden Apt • New Renovation,Entire home/apt
55498,71 dollars,"Brooklyn, Bedford-Stuyvesant",Tami,July 01 2019,Modern comfort in art infused landmark Brownstone,Private room
55737,199 dollars,"Manhattan, West Village",Pete,May 19 2019,Sleek & Comfortable Soho Apt,Entire home/apt
55959,69 dollars,"Brooklyn, Williamsburg",Gus,June 10 2019,Spacious Williamsburg Share w/ LOFT BED,Private room
56467,130 dollars,"Manhattan, East Village",Leonardo,July 01 2019,Cozy East Village Railroad 1 Bed!,Entire home/apt
56525,195 dollars,"Brooklyn, Greenpoint",Alex,June 13 2019,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt
56859,64 dollars,"Manhattan, Harlem",Wayne,June 03 2019,City Room - Private & Comfy Bedroom,private room
57166,140 dollars,"Queens, Ditmars Steinway",Vasili,June 17 2019,Elegant NYC Pad,Entire home/apt
57297,159 dollars,"Brooklyn, Cobble Hill",S.M.,June 24 2019,"Clean & bright 1BR in Cobble Hill, GREAT location!",Entire home/apt
57468,189 dollars,"Manhattan, East Village",Ori,June 23 2019,"Modern, Large East Village Loft",Entire home/apt
57618,250 dollars,"Manhattan, Hell's Kitchen",Ana,June 09 2019,"Great new apt, close to everything",Entire home/apt
57740,239 dollars,"Manhattan, East Village",I,May 24 2019,Quiet & Clean Retreat in the City,Entire home/apt
57754,305 dollars,"Manhattan, Flatiron District",R,June 30 2019,Stylish Large Gramercy Loft!,ENTIRE HOME/APT
57874,155 dollars,"Manhattan, Harlem",Simon,June 26 2019,The Brownstone-Luxury 1 Bd Apt/NYC,ENTIRE HOME/APT
58059,60 dollars,"Manhattan, Harlem",Agnes,July 03 2019,PRIVATE Room on Historic Sugar Hill,private room
58062,135 dollars,"Brooklyn, Windsor Terrace",Linda,May 17 2019,South Slope Green,Private room
58467,120 dollars,"Manhattan, Roosevelt Island",Dave,May 08 2019,"17 Flr. Manhattan Views, Nr. Subway",Private room
59014,150 dollars,"Manhattan, Lower East Side",Drica,January 02 2019,"Spacious 1BR, Adorable Clean Quiet",Entire home/apt
59642,135 dollars,"Brooklyn, Greenpoint",Betty,May 19 2019,Franklin St Flat in Trendy Greenpoint Brooklyn,Entire home/apt
59709,250 dollars,"Manhattan, Chinatown",Ricardo & Ashlie,July 01 2019,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt
60164,500 dollars,"Manhattan, SoHo",Harrison,June 23 2019,"Beautiful, elegant 3 bed SOHO loft",Entire home/apt
60457,225 dollars,"Manhattan, Greenwich Village",Jessica,May 11 2019,Spacious Greenwich Village Apt,entire home/apt
60666,92 dollars,"Manhattan, Harlem",Wayne,June 11 2019,City Room - Private Luxury Suite,Private room
60680,99 dollars,"Manhattan, East Village",Mich,June 20 2019,The gem of the East Village,Entire home/apt
60948,140 dollars,"Manhattan, East Harlem",Laurine,June 20 2019,ACCOMMODATIONS GALORE #2,Entire home/apt
61406,80 dollars,"Manhattan, Harlem",Bethania,June 01 2019,Great room in great location,private room
61492,120 dollars,"Manhattan, Chinatown",Tunji,June 23 2019,Exclusive Room with Private Bath in  LES,Private room
61509,110 dollars,"Manhattan, Midtown",Anna/Fonzy,April 30 2019,"Quiet, clean midtown apt w. elevato",Entire home/apt
62095,65 dollars,"Brooklyn, East Flatbush",Colette&Sean,June 14 2019,BK Sweet Suite w/Kitchen&FullBath,Entire home/apt
62427,130 dollars,"Manhattan, East Village",Brie,May 26 2019,Great East Village Apartment Rental,Entire home/apt
62430,99 dollars,"Brooklyn, Bushwick",Sheila,June 22 2019,BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt
62452,36 dollars,"Staten Island, Tompkinsville",Lissette,June 25 2019,A SpeciaL!! Private Room in NY,Private room
62461,37 dollars,"Staten Island, Tompkinsville",Lissette,June 10 2019,B NYC Staten Alternative...,Private room
62787,37 dollars,"Staten Island, Tompkinsville",Lissette,July 02 2019,C Private Room By The Ferry,private room
62891,175 dollars,"Manhattan, East Village",Olivia,May 24 2019,Smallest House In The Village,Entire home/apt
62903,205 dollars,"Manhattan, Chelsea",Daniel,June 21 2019,Beautiful modern studio apartment in heart of NYC,ENTIRE HOME/APT
62925,285 dollars,"Brooklyn, Greenpoint",Maya,June 16 2019,Beautiful Landmarked Duplex,Entire home/apt
63299,59 dollars,"Brooklyn, Williamsburg",Scott,June 23 2019,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room
